timestamp,long_flux_pred,goes_class_pred
2025-08-02 00:00:00,9.743290276874779e-07,B
2025-08-02 00:01:00,9.995223548795085e-07,B
2025-08-02 00:02:00,1.0380246455257644e-06,C
2025-08-02 00:03:00,1.119129289580815e-06,C
2025-08-02 00:04:00,1.1725396886335243e-06,C
2025-08-02 00:05:00,1.2084015289465485e-06,C
2025-08-02 00:06:00,1.2460747584181064e-06,C
2025-08-02 00:07:00,1.2380856778356246e-06,C
2025-08-02 00:08:00,1.2143279413664116e-06,C
2025-08-02 00:09:00,1.224482868299485e-06,C
2025-08-02 00:10:00,1.236588352242016e-06,C
2025-08-02 00:11:00,1.2541204673123722e-06,C
2025-08-02 00:12:00,1.2653485965990675e-06,C
2025-08-02 00:13:00,1.2624578121506675e-06,C
2025-08-02 00:14:00,1.255278758527167e-06,C
2025-08-02 00:15:00,1.2495959127139093e-06,C
2025-08-02 00:16:00,1.2608020377180958e-06,C
2025-08-02 00:17:00,1.2611615239953907e-06,C
2025-08-02 00:18:00,1.2642533531515513e-06,C
2025-08-02 00:19:00,1.2742785342401064e-06,C
2025-08-02 00:20:00,1.2914516484011681e-06,C
2025-08-02 00:21:00,1.2927232743014148e-06,C
2025-08-02 00:22:00,1.2955042795486583e-06,C
2025-08-02 00:23:00,1.3166710538422965e-06,C
2025-08-02 00:24:00,1.321052639591911e-06,C
2025-08-02 00:25:00,1.3209227905189432e-06,C
2025-08-02 00:26:00,1.319867964253494e-06,C
2025-08-02 00:27:00,1.3148805663077952e-06,C
2025-08-02 00:28:00,1.314384121732027e-06,C
2025-08-02 00:29:00,1.316300840049741e-06,C
2025-08-02 00:30:00,1.3143070019939118e-06,C
2025-08-02 00:31:00,1.3149067546278888e-06,C
2025-08-02 00:32:00,1.3266290188726669e-06,C
2025-08-02 00:33:00,1.3640591333918348e-06,C
2025-08-02 00:34:00,1.4546831427323829e-06,C
2025-08-02 00:35:00,1.5807616543448049e-06,C
2025-08-02 00:36:00,1.632994216818744e-06,C
2025-08-02 00:37:00,1.6327375639129326e-06,C
2025-08-02 00:38:00,1.6519070121867517e-06,C
2025-08-02 00:39:00,1.6700663071102881e-06,C
2025-08-02 00:40:00,1.6938666844760868e-06,C
2025-08-02 00:41:00,1.717731301087678e-06,C
2025-08-02 00:42:00,1.751618936145091e-06,C
2025-08-02 00:43:00,1.778050336500423e-06,C
2025-08-02 00:44:00,1.8256526970970295e-06,C
2025-08-02 00:45:00,1.8914755816948409e-06,C
2025-08-02 00:46:00,1.9661466477482795e-06,C
2025-08-02 00:47:00,1.994317502541628e-06,C
2025-08-02 00:48:00,2.0328291072462025e-06,C
2025-08-02 00:49:00,2.15934070426796e-06,C
2025-08-02 00:50:00,2.2933764337704267e-06,C
2025-08-02 00:51:00,2.325370884342746e-06,C
2025-08-02 00:52:00,2.3656891686343342e-06,C
2025-08-02 00:53:00,2.3911325924904947e-06,C
2025-08-02 00:54:00,2.4778489797356868e-06,C
2025-08-02 00:55:00,2.4577339889136367e-06,C
2025-08-02 00:56:00,2.4701976661414645e-06,C
2025-08-02 00:57:00,2.4693014929885113e-06,C
2025-08-02 00:58:00,2.463626003796529e-06,C
2025-08-02 00:59:00,2.4830947167163e-06,C
2025-08-02 01:00:00,2.5939339924261333e-06,C
2025-08-02 01:01:00,2.6455247748698734e-06,C
2025-08-02 01:02:00,2.659006290872383e-06,C
2025-08-02 01:03:00,2.691244877465334e-06,C
2025-08-02 01:04:00,2.701420531418415e-06,C
2025-08-02 01:05:00,2.701117832001748e-06,C
2025-08-02 01:06:00,2.697217307542246e-06,C
2025-08-02 01:07:00,2.697217307542246e-06,C
2025-08-02 01:08:00,2.6701936820243967e-06,C
2025-08-02 01:09:00,2.6652805024622216e-06,C
2025-08-02 01:10:00,2.665713602362064e-06,C
2025-08-02 01:11:00,2.665874570406737e-06,C
2025-08-02 01:12:00,2.655353675667337e-06,C
2025-08-02 01:13:00,2.7049669662343505e-06,C
2025-08-02 01:14:00,2.702639256649642e-06,C
2025-08-02 01:15:00,2.6971237180023796e-06,C
2025-08-02 01:16:00,2.6685416534192264e-06,C
2025-08-02 01:17:00,2.6688166059228036e-06,C
2025-08-02 01:18:00,2.667016367033656e-06,C
2025-08-02 01:19:00,2.683578601242297e-06,C
2025-08-02 01:20:00,2.6941336784906978e-06,C
2025-08-02 01:21:00,2.7018980819932643e-06,C
2025-08-02 01:22:00,2.651840122852989e-06,C
2025-08-02 01:23:00,2.6261873065001944e-06,C
2025-08-02 01:24:00,2.597945986575399e-06,C
2025-08-02 01:25:00,2.6010840152485056e-06,C
2025-08-02 01:26:00,2.5880555282697375e-06,C
2025-08-02 01:27:00,2.5988952836777167e-06,C
2025-08-02 01:28:00,2.6141537819090695e-06,C
2025-08-02 01:29:00,2.643481079014709e-06,C
2025-08-02 01:30:00,2.6951619426395123e-06,C
2025-08-02 01:31:00,2.7103979750940947e-06,C
2025-08-02 01:32:00,2.7592123647375884e-06,C
2025-08-02 01:33:00,2.7245695078167237e-06,C
2025-08-02 01:34:00,2.7474816579334894e-06,C
2025-08-02 01:35:00,2.736196095850552e-06,C
2025-08-02 01:36:00,2.7174361341173437e-06,C
2025-08-02 01:37:00,2.6973609624856555e-06,C
2025-08-02 01:38:00,2.658962496028671e-06,C
2025-08-02 01:39:00,2.658757844581957e-06,C
2025-08-02 01:40:00,2.6686771525920727e-06,C
2025-08-02 01:41:00,2.662398638369827e-06,C
2025-08-02 01:42:00,2.649651129689248e-06,C
2025-08-02 01:43:00,2.641629202380869e-06,C
2025-08-02 01:44:00,2.6256845593679085e-06,C
2025-08-02 01:45:00,2.5568410191428805e-06,C
2025-08-02 01:46:00,2.480706191868006e-06,C
2025-08-02 01:47:00,2.5524285037629307e-06,C
2025-08-02 01:48:00,2.5595635401283076e-06,C
2025-08-02 01:49:00,2.5815241076309634e-06,C
2025-08-02 01:50:00,2.5991099337316156e-06,C
2025-08-02 01:51:00,2.601026849982442e-06,C
2025-08-02 01:52:00,2.5811256721058555e-06,C
2025-08-02 01:53:00,2.561419896622323e-06,C
2025-08-02 01:54:00,2.55869505567855e-06,C
2025-08-02 01:55:00,2.520256099621807e-06,C
2025-08-02 01:56:00,2.527283026858358e-06,C
2025-08-02 01:57:00,2.514736097679436e-06,C
2025-08-02 01:58:00,2.519004327019275e-06,C
2025-08-02 01:59:00,2.534155799758567e-06,C
2025-08-02 02:00:00,2.5277083414718414e-06,C
2025-08-02 02:01:00,2.5667849485430766e-06,C
2025-08-02 02:02:00,2.6157157300349684e-06,C
2025-08-02 02:03:00,2.5934773650260198e-06,C
2025-08-02 02:04:00,2.5825724723555117e-06,C
2025-08-02 02:05:00,2.597404168670107e-06,C
2025-08-02 02:06:00,2.5923505026109638e-06,C
2025-08-02 02:07:00,2.5917610265337428e-06,C
2025-08-02 02:08:00,2.5766308247566084e-06,C
2025-08-02 02:09:00,2.5729851828459653e-06,C
2025-08-02 02:10:00,2.591815830292449e-06,C
2025-08-02 02:11:00,2.5841135608847674e-06,C
2025-08-02 02:12:00,2.5649238801609384e-06,C
2025-08-02 02:13:00,2.5563971497356137e-06,C
2025-08-02 02:14:00,2.5159750802102776e-06,C
2025-08-02 02:15:00,2.5178873699237825e-06,C
2025-08-02 02:16:00,2.5130264705431747e-06,C
2025-08-02 02:17:00,2.5138522059659317e-06,C
2025-08-02 02:18:00,2.5173505526166824e-06,C
2025-08-02 02:19:00,2.523997145204969e-06,C
2025-08-02 02:20:00,2.5594293259412903e-06,C
2025-08-02 02:21:00,2.55768905071716e-06,C
2025-08-02 02:22:00,2.5559497855706995e-06,C
2025-08-02 02:23:00,2.5786083323582394e-06,C
2025-08-02 02:24:00,2.6152723366669302e-06,C
2025-08-02 02:25:00,2.6247291823840314e-06,C
2025-08-02 02:26:00,2.6001779069436385e-06,C
2025-08-02 02:27:00,2.6205655754761923e-06,C
2025-08-02 02:28:00,2.718144374358332e-06,C
2025-08-02 02:29:00,2.873342584138483e-06,C
2025-08-02 02:30:00,2.934151145651546e-06,C
2025-08-02 02:31:00,2.9225232073975583e-06,C
2025-08-02 02:32:00,2.8836711304358646e-06,C
2025-08-02 02:33:00,2.8658328415402924e-06,C
2025-08-02 02:34:00,2.841990848692983e-06,C
2025-08-02 02:35:00,2.7180987268932806e-06,C
2025-08-02 02:36:00,2.668143480741641e-06,C
2025-08-02 02:37:00,2.5757329903475306e-06,C
2025-08-02 02:38:00,2.5340030942962085e-06,C
2025-08-02 02:39:00,2.49739720738581e-06,C
2025-08-02 02:40:00,2.532081913676833e-06,C
2025-08-02 02:41:00,2.529740611653582e-06,C
2025-08-02 02:42:00,2.5324489795000307e-06,C
2025-08-02 02:43:00,2.5348163220498165e-06,C
2025-08-02 02:44:00,2.516596127272743e-06,C
2025-08-02 02:45:00,2.512249715022363e-06,C
2025-08-02 02:46:00,2.5066124760366776e-06,C
2025-08-02 02:47:00,2.506871731436879e-06,C
2025-08-02 02:48:00,2.506615589037791e-06,C
2025-08-02 02:49:00,2.519238218663654e-06,C
2025-08-02 02:50:00,2.5245236997868074e-06,C
2025-08-02 02:51:00,2.5045963154090957e-06,C
2025-08-02 02:52:00,2.516942724155027e-06,C
2025-08-02 02:53:00,2.552228602125981e-06,C
2025-08-02 02:54:00,2.5500636679645477e-06,C
