timestamp,long_flux,short_flux
2025-07-24 01:15:00,1.5174747431956348e-06,3.3906907503933326e-08
2025-07-24 01:16:00,1.5097783716555568e-06,3.5394844388747515e-08
2025-07-24 01:17:00,1.5204249166345107e-06,3.5536405817993e-08
2025-07-24 01:18:00,1.550023512209009e-06,3.920768421039611e-08
2025-07-24 01:19:00,1.578722503836616e-06,4.2148229795202496e-08
2025-07-24 01:20:00,1.6080399518614286e-06,4.500348538272192e-08
2025-07-24 01:21:00,1.617403995624045e-06,4.49421690973395e-08
2025-07-24 01:22:00,1.618891246835119e-06,4.442314605057618e-08
2025-07-24 01:23:00,1.6106004068205948e-06,4.394269481622359e-08
2025-07-24 01:24:00,1.612933829164831e-06,4.565531597222616e-08
2025-07-24 01:25:00,1.6201639709834126e-06,4.1928910121669105e-08
2025-07-24 01:26:00,1.6123022987812874e-06,4.0072134055435527e-08
2025-07-24 01:27:00,1.6099935464808368e-06,3.977937623744765e-08
2025-07-24 01:28:00,1.6115892549350974e-06,3.9387039407756674e-08
2025-07-24 01:29:00,1.6131787106132833e-06,3.747652854713124e-08
2025-07-24 01:30:00,1.5943199969115085e-06,3.7033686339782435e-08
2025-07-24 01:31:00,1.5732242673038854e-06,3.4232296997060985e-08
2025-07-24 01:32:00,1.554251866764389e-06,3.160340966701369e-08
2025-07-24 01:33:00,1.5393509329442168e-06,3.0922983285108785e-08
2025-07-24 01:34:00,1.521837361906364e-06,2.59926196122251e-08
2025-07-24 01:35:00,1.5067238336996525e-06,2.5978863504860783e-08
2025-07-24 01:36:00,1.5074209613885614e-06,2.677551869112449e-08
2025-07-24 01:37:00,1.5270645690179663e-06,2.860269709969998e-08
2025-07-24 01:38:00,1.5423823924720637e-06,2.918730146461712e-08
2025-07-24 01:39:00,1.6227752439590404e-06,3.660767688984379e-08
2025-07-24 01:40:00,1.96356972992362e-06,7.285957082103778e-08
2025-07-24 01:41:00,1.937578645083704e-06,5.807396519230679e-08
2025-07-24 01:42:00,1.7741155033945688e-06,4.488598293050927e-08
2025-07-24 01:43:00,1.6779578118075733e-06,3.8292668591566326e-08
2025-07-24 01:44:00,1.6145693280122941e-06,3.114752544775001e-08
2025-07-24 01:45:00,1.5602660141667002e-06,2.862351777821459e-08
2025-07-24 01:46:00,1.5208581771730678e-06,2.30332730666305e-08
2025-07-24 01:47:00,1.5003705584604177e-06,2.40019133457281e-08
2025-07-24 01:48:00,1.4805759747105185e-06,2.2611315486642525e-08
2025-07-24 01:49:00,1.461764895793749e-06,1.8772153609347697e-08
2025-07-24 01:50:00,1.4406958825929905e-06,1.8814178659454228e-08
2025-07-24 01:51:00,1.4122812217465253e-06,1.7106520644460943e-08
2025-07-24 01:52:00,1.384911229251884e-06,1.8316747230073815e-08
2025-07-24 01:53:00,1.3609981124318438e-06,1.4234049494632472e-08
2025-07-24 01:54:00,1.3362030131247593e-06,1.4958040139845252e-08
2025-07-24 01:55:00,1.315213580710406e-06,1.313113173750935e-08
2025-07-24 01:56:00,1.2959068271811702e-06,1.0392509963708108e-08
2025-07-24 01:57:00,1.2808585552193108e-06,1.1073707284481316e-08
2025-07-24 01:58:00,1.2681445014095516e-06,8.661470651816217e-09
2025-07-24 01:59:00,1.250881609848875e-06,7.701284943095743e-09
2025-07-24 02:00:00,1.2277165524210432e-06,9.183437121862426e-09
2025-07-24 02:01:00,1.2061470897606341e-06,6.209110559041164e-09
2025-07-24 02:02:00,1.186152417176345e-06,5.783407974746524e-09
2025-07-24 02:03:00,1.170042537523841e-06,5.556892279656722e-09
2025-07-24 02:04:00,1.1602402310018078e-06,5.125086577351112e-09
2025-07-24 02:05:00,1.1436596878411365e-06,1.5927785756986168e-09
2025-07-24 02:06:00,1.1248851023992756e-06,3.134053239151058e-09
2025-07-24 02:07:00,1.1159070254507242e-06,2.627378092867616e-09
2025-07-24 02:08:00,1.1148979410791071e-06,3.728742203890079e-09
2025-07-24 02:09:00,1.116957037083921e-06,6.679707453827177e-09
2025-07-24 02:10:00,1.1136563671243493e-06,3.129470682594615e-09
2025-07-24 02:11:00,1.1065180842706468e-06,3.367370382534318e-09
2025-07-24 02:12:00,1.1100491974502802e-06,6.922140194376425e-09
2025-07-24 02:13:00,1.1034496765205404e-06,3.1938593991753805e-09
2025-07-24 02:14:00,1.104884859159938e-06,3.971394768598202e-09
2025-07-24 02:15:00,1.1027790378648206e-06,1.496456514260558e-09
2025-07-24 02:16:00,1.0900057532126084e-06,3.0177218501847847e-09
2025-07-24 02:17:00,1.0777031320685637e-06,3.2913336500683954e-09
2025-07-24 02:18:00,1.0641119843057822e-06,2.449176195185032e-09
2025-07-24 02:19:00,1.0514927453186829e-06,9.999999717180685e-10
2025-07-24 02:20:00,1.0403991836938076e-06,2.7283892922724817e-09
2025-07-24 02:21:00,1.0336866580473725e-06,1.272441263466817e-09
2025-07-24 02:22:00,1.0311902087778435e-06,4.14475787025026e-09
2025-07-24 02:23:00,1.0245549901810591e-06,1.0008047723886193e-09
2025-07-24 02:24:00,1.0230891120954766e-06,2.7069972929893993e-09
2025-07-24 02:25:00,1.0174809403906693e-06,2.603526283451174e-09
2025-07-24 02:26:00,1.0128935628017643e-06,9.999999717180685e-10
2025-07-24 02:27:00,1.0056500059363316e-06,1.0735908828607421e-09
2025-07-24 02:28:00,9.9783505902451e-07,9.999999717180685e-10
2025-07-24 02:29:00,9.954412689694436e-07,9.999999717180685e-10
2025-07-24 02:30:00,9.952800610335544e-07,9.999999717180685e-10
2025-07-24 02:31:00,9.949793593477807e-07,9.999999717180685e-10
2025-07-24 02:32:00,9.998902896768413e-07,9.999999717180685e-10
2025-07-24 02:33:00,9.969861594072427e-07,9.999999717180685e-10
2025-07-24 02:34:00,1.0025780738942558e-06,1.166887697579e-09
2025-07-24 02:35:00,1.0075727914227173e-06,1.5817501752835028e-09
2025-07-24 02:36:00,1.014033045976248e-06,1.879294275752841e-09
2025-07-24 02:37:00,1.0330332997909863e-06,2.946729082964339e-09
2025-07-24 02:38:00,1.0798427183544845e-06,2.7115583112191644e-09
2025-07-24 02:39:00,1.0853354979190044e-06,5.0145620988928385e-09
2025-07-24 02:40:00,1.0715239113778807e-06,2.3886534972206164e-09
2025-07-24 02:41:00,1.0677114232748863e-06,2.932594611593231e-09
2025-07-24 02:42:00,1.0705390423026984e-06,2.7463029628194136e-09
2025-07-24 02:43:00,1.0749165539891692e-06,3.788994451525696e-09
2025-07-24 02:44:00,1.0806741101987427e-06,9.999999717180685e-10
2025-07-24 02:45:00,1.1116188716187025e-06,4.579686851968745e-09
2025-07-24 02:46:00,1.1431458233346348e-06,7.144338454168064e-09
2025-07-24 02:47:00,1.1431047823862173e-06,5.2712225695472625e-09
2025-07-24 02:48:00,1.1267787840552046e-06,5.789206003470326e-09
2025-07-24 02:49:00,1.1117429039586568e-06,5.008498948910756e-09
2025-07-24 02:50:00,1.0984036862282665e-06,3.676820181652829e-09
2025-07-24 02:51:00,1.089713123292313e-06,1.8078518682074218e-09
2025-07-24 02:52:00,1.0843135669347248e-06,3.435623119329989e-09
2025-07-24 02:53:00,1.078958803191199e-06,2.0918753396159673e-09
2025-07-24 02:54:00,1.0609493301672046e-06,3.360691946951988e-09
2025-07-24 02:55:00,1.0484366157470504e-06,4.1201841938232064e-09
2025-07-24 02:56:00,1.0472640497027896e-06,3.2213638423428392e-09
2025-07-24 02:57:00,1.0307013553756406e-06,9.999999717180685e-10
2025-07-24 02:58:00,1.014919234876288e-06,9.999999717180685e-10
2025-07-24 02:59:00,1.0080035508508445e-06,9.999999717180685e-10
2025-07-24 03:00:00,1.0041497944257571e-06,9.999999717180685e-10
2025-07-24 03:01:00,1.0000273960031336e-06,9.999999717180685e-10
2025-07-24 03:02:00,9.93992557596357e-07,9.999999717180685e-10
2025-07-24 03:03:00,9.852317361946916e-07,9.999999717180685e-10
