timestamp,long_flux,short_flux
2025-07-18 01:15:00,1.150015123130288e-06,3.9485623659629716e-08
2025-07-18 01:16:00,1.1246810345255651e-06,3.685728344748895e-08
2025-07-18 01:17:00,1.1030091400243691e-06,3.6351007537405167e-08
2025-07-18 01:18:00,1.0772262157843215e-06,3.2066964195109904e-08
2025-07-18 01:19:00,1.0647452199918916e-06,3.6780647860723554e-08
2025-07-18 01:20:00,1.0483217920409516e-06,3.449753904760655e-08
2025-07-18 01:21:00,1.039396806845616e-06,3.298247719385472e-08
2025-07-18 01:22:00,1.0348713885832694e-06,3.3846838221052173e-08
2025-07-18 01:23:00,1.0327399877496646e-06,3.4511707269757614e-08
2025-07-18 01:24:00,1.0312503491149982e-06,3.4214750144201396e-08
2025-07-18 01:25:00,1.0313151506124996e-06,3.144944571431552e-08
2025-07-18 01:26:00,1.0300012718289508e-06,3.2623137968812443e-08
2025-07-18 01:27:00,1.0316513225916424e-06,3.250745805871702e-08
2025-07-18 01:28:00,1.025546566779667e-06,3.359361855359566e-08
2025-07-18 01:29:00,1.02743206298328e-06,3.3214817563020915e-08
2025-07-18 01:30:00,1.0481339813850354e-06,3.732671061129622e-08
2025-07-18 01:31:00,1.0714394420574536e-06,3.6060633590295765e-08
2025-07-18 01:32:00,1.0729509085649624e-06,3.58009053513797e-08
2025-07-18 01:33:00,1.0639631682352046e-06,3.6017713256342176e-08
2025-07-18 01:34:00,1.0484029644430848e-06,3.196937470306693e-08
2025-07-18 01:35:00,1.036485855365754e-06,3.5193142622347295e-08
2025-07-18 01:36:00,1.0242301868856885e-06,3.337497389566124e-08
2025-07-18 01:37:00,1.0122063258677372e-06,3.2101898028713556e-08
2025-07-18 01:38:00,1.0037897482106928e-06,3.140968374282238e-08
2025-07-18 01:39:00,9.95704112938256e-07,3.1479544304602314e-08
2025-07-18 01:40:00,9.936910601027191e-07,3.485336819153417e-08
2025-07-18 01:41:00,9.961727300833445e-07,3.1255925847517574e-08
2025-07-18 01:42:00,9.940197287505723e-07,3.0930820571484225e-08
2025-07-18 01:43:00,1.006237084766326e-06,3.0434041065063866e-08
2025-07-18 01:44:00,1.0200371889368398e-06,3.2675515626579e-08
2025-07-18 01:45:00,1.0217802355327876e-06,3.2811954042699654e-08
2025-07-18 01:46:00,1.014487224892946e-06,3.173951412804854e-08
2025-07-18 01:47:00,1.0104101875185734e-06,3.121361302760306e-08
2025-07-18 01:48:00,1.0054592394226347e-06,3.012166516214165e-08
2025-07-18 01:49:00,9.94710148916056e-07,2.6662437591085112e-08
