timestamp,long_flux,short_flux,goes_class
2025-07-28 00:43:00,9.708428217995564e-07,3.069869596415265e-08,B
2025-07-28 00:44:00,9.94318466076888e-07,3.2163493194839604e-08,B
2025-07-28 00:45:00,1.0015173533336893e-06,3.161027286918785e-08,C
2025-07-28 00:46:00,9.839537433137713e-07,3.0481160815788064e-08,B
2025-07-28 00:47:00,9.762331518179619e-07,3.035509017916208e-08,B
2025-07-28 00:48:00,9.665842563648409e-07,2.9052556557217702e-08,B
2025-07-28 00:49:00,9.554031279191402e-07,2.8273465954621306e-08,B
2025-07-28 00:50:00,9.414499910146005e-07,2.7341074031388887e-08,B
2025-07-28 00:51:00,9.313051842567444e-07,2.6281566049129738e-08,B
2025-07-28 00:52:00,9.230837985133341e-07,2.579934574900896e-08,B
2025-07-28 00:53:00,9.217781937087372e-07,2.574166293602018e-08,B
2025-07-28 00:54:00,9.314073505176238e-07,2.647281238665755e-08,B
2025-07-28 00:55:00,9.622121503943177e-07,2.9285823667763346e-08,B
2025-07-28 00:56:00,9.636244614784282e-07,2.9570048347984708e-08,B
2025-07-28 00:57:00,9.593559493772713e-07,2.7685666182195444e-08,B
2025-07-28 00:58:00,9.446767393694514e-07,2.7020219417108894e-08,B
2025-07-28 00:59:00,9.286136642152937e-07,2.5265655271041615e-08,B
2025-07-28 01:00:00,9.17246997918572e-07,2.6371548030922543e-08,B
2025-07-28 01:01:00,9.075474745482917e-07,2.5270901668165274e-08,B
2025-07-28 01:02:00,9.044331606122289e-07,2.4747053910643537e-08,B
2025-07-28 01:03:00,8.995950150195119e-07,2.510736862495623e-08,B
2025-07-28 01:04:00,8.984687008810173e-07,2.5782025643731825e-08,B
2025-07-28 01:05:00,9.007661152490534e-07,2.503332225664795e-08,B
2025-07-28 01:06:00,9.03253235674874e-07,2.407033053567432e-08,B
2025-07-28 01:07:00,9.039822003376416e-07,2.5130037635522914e-08,B
2025-07-28 01:08:00,9.076856348074813e-07,2.4441317889444094e-08,B
