timestamp,long_flux_pred,goes_class_pred
2025-07-28 22:53:00,9.630664835716306e-07,B
2025-07-28 22:54:00,9.634409246875781e-07,B
2025-07-28 22:55:00,9.63754566193903e-07,B
2025-07-28 22:56:00,9.654830613885236e-07,B
2025-07-28 22:57:00,9.68803473929052e-07,B
2025-07-28 22:58:00,9.694863068055396e-07,B
2025-07-28 22:59:00,9.710191475812876e-07,B
2025-07-28 23:00:00,9.688482195684678e-07,B
2025-07-28 23:01:00,9.678393164308655e-07,B
2025-07-28 23:02:00,9.670468134974443e-07,B
2025-07-28 23:03:00,9.685785689355188e-07,B
2025-07-28 23:04:00,9.73131435842248e-07,B
2025-07-28 23:05:00,9.741300061041437e-07,B
2025-07-28 23:06:00,9.713647435575883e-07,B
2025-07-28 23:07:00,9.69207847762652e-07,B
2025-07-28 23:08:00,9.670140563801945e-07,B
2025-07-28 23:09:00,9.644345985967002e-07,B
2025-07-28 23:10:00,9.631753653093562e-07,B
2025-07-28 23:11:00,9.629162361055619e-07,B
2025-07-28 23:12:00,9.630434647217363e-07,B
2025-07-28 23:13:00,9.635537016118433e-07,B
2025-07-28 23:14:00,9.669113801229625e-07,B
2025-07-28 23:15:00,9.672161517208577e-07,B
2025-07-28 23:16:00,9.692059794486138e-07,B
2025-07-28 23:17:00,9.712098936978026e-07,B
2025-07-28 23:18:00,9.718895843337772e-07,B
2025-07-28 23:19:00,9.758030548564944e-07,B
2025-07-28 23:20:00,9.789658467610822e-07,B
2025-07-28 23:21:00,9.803806387008766e-07,B
2025-07-28 23:22:00,9.82532230285385e-07,B
2025-07-28 23:23:00,9.833054846153842e-07,B
2025-07-28 23:24:00,9.845884489531724e-07,B
2025-07-28 23:25:00,9.858509376008892e-07,B
2025-07-28 23:26:00,9.853710815585504e-07,B
2025-07-28 23:27:00,9.88280408616011e-07,B
2025-07-28 23:28:00,9.866767566237855e-07,B
2025-07-28 23:29:00,9.854253944163761e-07,B
2025-07-28 23:30:00,9.849623549688449e-07,B
2025-07-28 23:31:00,9.828516592378134e-07,B
2025-07-28 23:32:00,9.808212147218494e-07,B
2025-07-28 23:33:00,9.80442664129944e-07,B
2025-07-28 23:34:00,9.786457248825593e-07,B
2025-07-28 23:35:00,9.721195314084804e-07,B
2025-07-28 23:36:00,9.725214505169837e-07,B
2025-07-28 23:37:00,9.706472034316388e-07,B
2025-07-28 23:38:00,9.676747740634674e-07,B
2025-07-28 23:39:00,9.672038661094115e-07,B
2025-07-28 23:40:00,9.6727415136102e-07,B
2025-07-28 23:41:00,9.646412553378013e-07,B
2025-07-28 23:42:00,9.636580055304629e-07,B
2025-07-28 23:43:00,9.671502515006478e-07,B
2025-07-28 23:44:00,9.69779519900121e-07,B
2025-07-28 23:45:00,9.705147561262441e-07,B
2025-07-28 23:46:00,9.696875981161086e-07,B
2025-07-28 23:47:00,9.69132353380804e-07,B
2025-07-28 23:48:00,9.679780469274882e-07,B
2025-07-28 23:49:00,9.677504527420999e-07,B
2025-07-28 23:50:00,9.671125227130073e-07,B
2025-07-28 23:51:00,9.669132249153664e-07,B
2025-07-28 23:52:00,9.700091605968908e-07,B
2025-07-28 23:53:00,9.669188134024787e-07,B
2025-07-28 23:54:00,9.69417786720546e-07,B
2025-07-28 23:55:00,9.668584083341589e-07,B
2025-07-28 23:56:00,9.633782088234199e-07,B
2025-07-28 23:57:00,9.625022617791737e-07,B
2025-07-28 23:58:00,9.631985285688984e-07,B
2025-07-28 23:59:00,9.636603601530868e-07,B
2025-07-29 00:00:00,9.645056323004063e-07,B
2025-07-29 00:01:00,9.649568827547078e-07,B
2025-07-29 00:02:00,9.651405171131329e-07,B
2025-07-29 00:03:00,9.669963546851644e-07,B
2025-07-29 00:04:00,9.674588119574511e-07,B
2025-07-29 00:05:00,9.68046874028907e-07,B
2025-07-29 00:06:00,9.669262757432286e-07,B
2025-07-29 00:07:00,9.678216108243948e-07,B
2025-07-29 00:08:00,9.656237502873442e-07,B
2025-07-29 00:09:00,9.641119019412616e-07,B
2025-07-29 00:10:00,9.633156333759488e-07,B
2025-07-29 00:11:00,9.626793524879987e-07,B
2025-07-29 00:12:00,9.63257636660495e-07,B
2025-07-29 00:13:00,9.619931681249516e-07,B
2025-07-29 00:14:00,9.61949720150029e-07,B
2025-07-29 00:15:00,9.633508794942903e-07,B
2025-07-29 00:16:00,9.616202369694713e-07,B
2025-07-29 00:17:00,9.610320672699858e-07,B
2025-07-29 00:18:00,9.591706662128223e-07,B
2025-07-29 00:19:00,9.57073109015362e-07,B
2025-07-29 00:20:00,9.526376546225714e-07,B
2025-07-29 00:21:00,9.518669856803839e-07,B
2025-07-29 00:22:00,9.528441293133631e-07,B
2025-07-29 00:23:00,9.553945159225981e-07,B
2025-07-29 00:24:00,9.573004509346188e-07,B
2025-07-29 00:25:00,9.586370193143957e-07,B
2025-07-29 00:26:00,9.604789445966701e-07,B
2025-07-29 00:27:00,9.635926110993089e-07,B
2025-07-29 00:28:00,9.597054330000875e-07,B
2025-07-29 00:29:00,9.611919440828746e-07,B
2025-07-29 00:30:00,9.602969398661178e-07,B
2025-07-29 00:31:00,9.60140980502111e-07,B
2025-07-29 00:32:00,9.635727123561918e-07,B
2025-07-29 00:33:00,9.646273826356494e-07,B
2025-07-29 00:34:00,9.626578221262414e-07,B
2025-07-29 00:35:00,9.64068308475032e-07,B
2025-07-29 00:36:00,9.635617500589771e-07,B
2025-07-29 00:37:00,9.616192721848688e-07,B
2025-07-29 00:38:00,9.611623873174762e-07,B
2025-07-29 00:39:00,9.605548266445243e-07,B
2025-07-29 00:40:00,9.603382619825573e-07,B
2025-07-29 00:41:00,9.61106588854625e-07,B
2025-07-29 00:42:00,9.584042061568887e-07,B
2025-07-29 00:43:00,9.520629463617649e-07,B
2025-07-29 00:44:00,9.468093635675109e-07,B
2025-07-29 00:45:00,9.427931483506309e-07,B
2025-07-29 00:46:00,9.335754626923229e-07,B
2025-07-29 00:47:00,9.331599741241464e-07,B
2025-07-29 00:48:00,9.339567961488232e-07,B
2025-07-29 00:49:00,9.364980380180992e-07,B
2025-07-29 00:50:00,9.372084794859865e-07,B
2025-07-29 00:51:00,9.366748072910412e-07,B
2025-07-29 00:52:00,9.388505157037351e-07,B
2025-07-29 00:53:00,9.40530211184531e-07,B
2025-07-29 00:54:00,9.446003088841619e-07,B
2025-07-29 00:55:00,9.502604685089218e-07,B
2025-07-29 00:56:00,9.519686025597762e-07,B
2025-07-29 00:57:00,9.489418956076122e-07,B
2025-07-29 00:58:00,9.4620067295927e-07,B
2025-07-29 00:59:00,9.46506630033454e-07,B
2025-07-29 01:00:00,9.497044217792657e-07,B
2025-07-29 01:01:00,9.526937668866448e-07,B
2025-07-29 01:02:00,9.53114605459949e-07,B
2025-07-29 01:03:00,9.527094660332382e-07,B
2025-07-29 01:04:00,9.53729938952584e-07,B
2025-07-29 01:05:00,9.52500342574922e-07,B
2025-07-29 01:06:00,9.553579959580256e-07,B
2025-07-29 01:07:00,9.604101139987612e-07,B
2025-07-29 01:08:00,9.658275138633012e-07,B
2025-07-29 01:09:00,9.665828438875204e-07,B
2025-07-29 01:10:00,9.654398205614072e-07,B
2025-07-29 01:11:00,9.674540563499064e-07,B
2025-07-29 01:12:00,9.683817258661283e-07,B
2025-07-29 01:13:00,9.70503307321213e-07,B
2025-07-29 01:14:00,9.722879492935463e-07,B
2025-07-29 01:15:00,9.735842487262267e-07,B
2025-07-29 01:16:00,9.721668205665176e-07,B
2025-07-29 01:17:00,9.676690877803173e-07,B
2025-07-29 01:18:00,9.632537340881442e-07,B
2025-07-29 01:19:00,9.634200590453694e-07,B
2025-07-29 01:20:00,9.611426770569385e-07,B
2025-07-29 01:21:00,9.609709825777512e-07,B
2025-07-29 01:22:00,9.616567045990705e-07,B
2025-07-29 01:23:00,9.643406826408696e-07,B
2025-07-29 01:24:00,9.643004906743586e-07,B
2025-07-29 01:25:00,9.62484710229581e-07,B
2025-07-29 01:26:00,9.628068749155444e-07,B
2025-07-29 01:27:00,9.632133274242215e-07,B
2025-07-29 01:28:00,9.628184619450512e-07,B
2025-07-29 01:29:00,9.621982218857202e-07,B
2025-07-29 01:30:00,9.626140827628471e-07,B
